grid,lambda,unlabeled,batch_size,train_acc,test_acc
grid_search_1,0.01,10,100,1.0,0.14122448979591837
grid_search_1,0.01,10,120,1.0,0.13877551020408163
grid_search_1,0.01,10,150,1.0,0.14857142857142858
grid_search_1,0.01,10,80,0.994088669950739,0.15510204081632653
grid_search_1,0.01,15,100,0.9970443349753695,0.12979591836734694
grid_search_1,0.01,15,120,1.0,0.1436734693877551
grid_search_1,0.01,15,150,1.0,0.15020408163265306
grid_search_1,0.01,15,80,0.9960591133004926,0.1306122448979592
grid_search_1,0.01,5,100,1.0,0.14448979591836736
grid_search_1,0.01,5,120,1.0,0.13142857142857142
grid_search_1,0.01,5,150,1.0,0.12163265306122449
grid_search_1,0.01,5,80,0.996551724137931,0.13142857142857142
grid_search_2,0.3,10,100,0.6748768472906403,0.10122448979591837
grid_search_2,0.3,10,120,0.716256157635468,0.0946938775510204
grid_search_2,0.3,10,80,0.7068965517241379,0.10448979591836735
grid_search_2,0.3,15,100,0.8502463054187193,0.10693877551020409
grid_search_2,0.3,15,120,0.8024630541871921,0.1036734693877551
grid_search_2,0.3,15,80,0.9270935960591133,0.11673469387755102
grid_search_2,0.3,5,100,0.5083743842364532,0.09387755102040816
grid_search_2,0.3,5,120,0.4714285714285714,0.08244897959183674
grid_search_2,0.3,5,80,0.4852216748768473,0.08734693877551021
grid_search_2,0.5,10,100,0.3448275862068966,0.0783673469387755
grid_search_2,0.5,10,120,0.31133004926108376,0.07265306122448979
grid_search_2,0.5,10,80,0.39901477832512317,0.08326530612244898
grid_search_2,0.5,15,100,0.4689655172413793,0.08326530612244898
grid_search_2,0.5,15,120,0.34876847290640395,0.08653061224489796
grid_search_2,0.5,15,80,0.46551724137931033,0.08081632653061224
grid_search_2,0.5,5,100,0.23201970443349754,0.08244897959183674
grid_search_2,0.5,5,120,0.22266009852216748,0.07265306122448979
grid_search_2,0.5,5,80,0.24088669950738917,0.08081632653061224
grid_search_3,0.3,10,150,0.6266009852216748,0.10285714285714286
grid_search_3,0.3,10,170,0.6527093596059114,0.0946938775510204
grid_search_3,0.3,15,150,0.7950738916256158,0.10040816326530612
grid_search_3,0.3,15,170,0.7275862068965517,0.0946938775510204
grid_search_3,0.3,5,150,0.5078817733990147,0.09877551020408164
grid_search_3,0.3,5,170,0.4266009852216749,0.08163265306122448
grid_search_3,0.5,10,150,0.316256157635468,0.09061224489795919
grid_search_3,0.5,10,170,0.2916256157635468,0.07755102040816327
grid_search_3,0.5,15,150,0.3807881773399015,0.07428571428571429
grid_search_3,0.5,15,170,0.30098522167487685,0.08653061224489796
grid_search_3,0.5,5,150,0.23891625615763548,0.07591836734693877
grid_search_3,0.5,5,170,0.229064039408867,0.08326530612244898
grid_search_4,0.1,10,100,0.9881773399014778,0.13959183673469389
grid_search_4,0.1,10,120,1.0,0.13306122448979593
grid_search_4,0.1,10,150,1.0,0.12244897959183673
grid_search_4,0.1,10,170,0.9876847290640394,0.11836734693877551
grid_search_4,0.1,10,80,0.9980295566502463,0.13142857142857142
grid_search_4,0.1,15,100,0.9980295566502463,0.13142857142857142
grid_search_4,0.1,15,120,1.0,0.1306122448979592
grid_search_4,0.1,15,150,1.0,0.11510204081632654
grid_search_4,0.1,15,170,1.0,0.12979591836734694
grid_search_4,0.1,15,80,0.9960591133004926,0.1363265306122449
grid_search_4,0.1,5,100,0.9788177339901478,0.13306122448979593
grid_search_4,0.1,5,120,0.9729064039408867,0.12
grid_search_4,0.1,5,150,0.9605911330049262,0.1126530612244898
grid_search_4,0.1,5,170,0.9832512315270936,0.11183673469387755
grid_search_4,0.1,5,80,0.9650246305418719,0.13306122448979593
