,Module
Dlk1,4
H2afy,4
Gm15915,2
Cd34,4
Igfbp4,4
Car2,2
Podxl,2
Ly6d,7
Muc13,4
Car1,-1
Ly6a,9
Gmpr,2
Tmem176b,4
Gata2,1
Scin,2
Hpgd,-1
Klrd1,7
Tph1,6
Csf2rb2,1
Myc,4
Siglech,7
Spns2,2
Beta-s,-1
H2-Eb1,7
Ccl6,1
Gzmb,6
Cpa3,1
Prnp,2
Alox5,2
Ptprcap,4
Hmga2,4
Cyp11a1,1
Prss34,1
Ccr9,7
F2r,2
Akr1c13,1
Igfbp5,6
Slc18a2,2
Ptp4a3,2
H2-Aa,7
Mpo,10
Mcpt8,1
Ctsc,3
Rab38,4
Rnf128,1
Cda,2
Gstm1,10
Thy1,4
Gpr56,4
Prtn3,10
Fam65a,4
Nlrp6,2
Socs2,4
Csf2rb,1
Ms4a2,6
Ctsg,10
Cma1,6
Il1rl1,6
Mmp8,3
Olfm1,3
Slc7a8,1
1100001G20Rik,8
Sirpa,3
Hdc,1
Col1a2,-1
Elane,10
Cpox,2
Cox6a2,7
Lilrb4,1
Cd27,4
Ms4a6c,3
Spint2,4
Zfpm1,2
Sell,3
Bex4,-1
Samd14,2
Fcer1a,6
Klf1,2
Xcl1,7
Arx,4
Cybb,8
Gata1,2
Cd74,7
Ly6c2,10
Gfi1,10
Ak4,4
Furin,1
Pim2,4
Dmkn,3
Serpina3g,4
Akr1c18,1
Sipa1l1,4
Ccr2,3
S100a8,8
Ces2g,2
Meis1,4
Igfbp7,1
Cd7,7
Acss1,2
S100a9,8
Cdh1,1
Slpi,1
Ikzf2,1
S100a4,3
Ermap,-1
Ms4a6d,3
Ehd3,5
Ctla2a,2
Slc14a1,5
Osm,1
Itga2b,5
Vim,3
Aqp9,1
Mef2c,4
Ccl9,1
Casp6,3
Mycn,4
Tcf4,4
Ngp,8
H2-Ab1,7
Il1r1,4
Ccnd1,7
Ccnd2,4
Avil,6
Hgf,1
Sgms2,10
Vcan,3
Lcn2,8
Perp,1
Fam212a,4
Mt1,10
Basp1,6
Trim30a,9
Top2a,4
Tsc22d1,4
S100a6,1
Lipg,10
Bcl2,4
Slc22a3,1
Pdcd1lg2,1
Tgfbi,3
Mpeg1,3
Rpl39l,-1
Ddc,6
Cd200r3,1
Svs4,-1
Anxa6,1
Mboat1,1
Bex6,4
Hp,3
Lyz2,3
Igj,7
Tpsb2,6
Kit,6
Car8,6
Ptprg,6
Cobl,6
Sept8,2
Ckap2l,5
Mfsd2b,5
Cbfa2t3,4
Tmem108,7
Homer2,1
Csf1r,3
Slc7a5,4
Ndrg2,4
Flt3,7
Pf4,5
Itgam,8
Wfdc17,3
Prkcb,6
Atp8b5,6
Gm7694,-1
Fam198b,6
Rgs18,5
Bcl11a,4
Mrvi1,5
Lgals3,3
Hmgn3,1
Ccl4,1
Lat,-1
Rhag,-1
Cd55,1
Fam84b,4
Rnf149,3
Id2,6
Ly86,7
Gzma,7
Cdh17,1
Plxnb2,3
Crip1,1
Ifi30,3
Maob,6
Slc35d3,5
Fth1,3
Dnmt3b,4
Gp49a,1
Cfp,3
Cd200r4,1
Mrc1,3
Papss2,6
L1cam,1
Ifi203,9
Runx3,4
Dab2,3
Eltd1,4
Vamp5,2
Spint1,3
Ltf,8
Prkca,5
Lif,1
Rbpms2,5
Col18a1,-1
Socs3,3
Fam105a,6
Ctss,3
Ceacam10,8
F13a1,3
Slc2a3,5
Rassf4,3
Gpr4,7
F630028O10Rik,10
Rhoj,1
Dusp6,1
Nrip3,1
Ubac2,1
1700097N02Rik,-1
Sord,-1
1500012F01Rik,4
Ank1,-1
Tnip3,4
Glb1,1
Satb1,7
Ptms,6
Crisp1,1
Phlda2,-1
Dntt,7
Gnai1,6
Pcsk9,4
F7,3
Irf8,3
Slc6a9,1
Snhg4,4
Tspan13,4
Il6,1
Bnip3,4
H1f0,4
Ccl3,1
Gadd45a,4
Mgst2,10
Tspan33,-1
Irgm1,9
Ctnnd2,7
Pyhin1,3
Lpl,3
Hs6st2,6
Nkg7,4
B3gnt5,4
Ccr1,3
Arl4c,1
Tmem9,-1
Rbpms,4
Itgae,7
Ndst2,6
Padi2,1
Socs1,1
Ms4a4c,3
Slc41a3,1
Ablim1,4
5430417L22Rik,5
Psap,3
Clec4a1,3
Naaa,3
Cd52,3
Tubb2a,-1
Tyrobp,3
Cd9,-1
Msi2,4
Tfr2,4
Serpine2,5
Tmem176a,4
Slc45a3,6
Atp1b2,-1
Olfml2b,10
I730030J21Rik,4
Cxcr2,1
Slc24a3,1
Pcp4,7
Hes1,6
Fgfr1,1
Clec4n,3
Gp9,5
Gch1,6
Itgb2l,8
Csrp3,-1
Epb4.1l4b,4
Isg15,9
Tspo2,-1
Clec11a,-1
Klf4,3
Ptger3,1
Nrgn,-1
Vcl,-1
Ifi27l1,4
Chi3l3,8
Usp40,-1
Mgst1,10
Mndal,9
Epsti1,9
Pld4,3
Anpep,6
Fyn,-1
Tnfrsf1b,9
Arhgap6,-1
F2rl2,-1
Pea15a,1
Pacsin1,7
Bmyc,4
P2ry1,1
Lsp1,3
Il6st,3
Fam108c,4
1810033B17Rik,8
Gimap4,4
Smad3,4
Tcf7l2,3
Emr1,1
Dpp4,-1
Ifi27l2a,3
Ngfr,7
S100a10,3
Slco2b1,6
Akr1c12,1
AI607873,3
Akap2,6
Smox,-1
Pygl,8
Cebpe,8
Irf9,9
Rtp4,9
Fabp5,3
Trp53i11,4
Pls1,-1
Rsad2,4
Ctsh,3
Ttc39b,-1
Emp1,3
Ceacam1,8
Ero1l,4
Plek,-1
Flnb,4
Nqo1,-1
AF251705,3
Lat2,1
Darc,-1
Lilrb3,3
Igtp,9
Csf1,1
Cd177,8
Tpsg1,6
Klhl6,4
Rab27b,-1
Glul,-1
Tgfbr3,-1
Meg3,-1
Chi3l1,8
Syne1,8
Myadm,3
Saa3,3
Casp12,-1
Gata3,7
Havcr2,1
Napsa,9
Adam8,1
Gzmc,-1
Il12a,4
Trap1a,-1
Tmtc2,1
Spp1,3
Rprm,6
Ms4a6b,3
Mylk,4
Fam46a,1
Tmem64,1
H2-DMa,7
Iigp1,9
Adpgk,10
Cd3g,7
Plod2,4
Ctsl,3
Slc40a1,8
Itgb3,-1
Cd28,3
Parvb,-1
Slfn5,9
Pglyrp1,8
Gem,1
Osbpl5,1
G0s2,8
Eomes,7
Hsd11b1,8
Lrg1,3
Gp5,-1
Stxbp6,-1
Rsad1,-1
Dok2,-1
Crtap,4
Mt2,10
Ubash3b,-1
Ctr9,9
Col4a1,4
Serpinb2,-1
Gypa,-1
Clec4e,9
Clec4d,9
Prkcq,-1
Cox6b2,-1
Sepw1,-1
Vldlr,4
Ank,-1
P2rx1,1
Klrk1,7
BC017612,4
Rab37,-1
Camp,8
Zcchc18,7
Isg20,4
E230008N13Rik,-1
Fchsd2,4
Aldoc,9
Anxa1,8
Cyp4f16,3
Plxdc2,1
Jun,3
Timp2,3
Il1r2,3
Cd69,4
Clca1,-1
F10,3
BC147527,7
P2ry14,1
Ddt,9
C3ar1,1
Eps8,3
Lgmn,3
Itm2c,4
Phlda3,-1
Gstt1,-1
Ear6,8
Ifi44,9
Gbp7,9
Raph1,3
Oasl2,9
Epx,-1
Hmox1,3
Ctsb,3
Ciita,7
Creb3l1,6
Fgr,3
Pdxk,4
Gpr171,9
Alox8,1
Cmpk2,4
Plscr2,-1
Bcl2l11,3
Gpr183,3
Cadm1,7
Pde2a,8
Aff3,4
Fpr2,8
Eid2,4
Zfp36,3
Gfi1b,-1
Vwa5a,6
Ccr5,3
C3,8
Specc1,1
Rgs1,1
Adora2b,1
Vegfc,6
Pkp3,-1
Egr1,-1
Kcne3,6
Ifitm6,8
Neurl3,4
Smim3,-1
Aqp1,-1
Prg2,-1
Ptprf,-1
Btg2,-1
Anxa4,3
Tnk2,-1
Klrb1f,9
Myo1d,1
Gp1ba,-1
Il1b,-1
Kmo,7
Ffar2,3
Nt5e,-1
Atp1b1,7
